timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2022-04-01T00:00:00.000Z";"2022-04-30T23:59:59.999Z";"2022-04-01T00:52:00.000Z";"2022-04-30T23:13:00.000Z";384.1330460152;388.4082771279;273.4030311738;278.6688809469;4327964629.02;5308887759;"2022-04-30T23:59:59.999Z"
"2022-03-01T00:00:00.000Z";"2022-03-31T23:59:59.999Z";"2022-03-31T21:11:00.000Z";"2022-03-07T20:07:00.000Z";337.1473426742;389.4142355392;272.1178259638;384.0443511744;5207447296.69;7306098141.18;"2022-03-31T23:59:59.999Z"
"2022-02-01T00:00:00.000Z";"2022-02-28T23:59:59.999Z";"2022-02-10T12:16:00.000Z";"2022-02-24T07:37:00.000Z";285.513898962;361.3587018725;261.3431013578;337.121996893;4333237968.71;6403975774.02;"2022-02-28T23:59:59.999Z"
"2022-01-01T00:00:00.000Z";"2022-01-31T23:59:59.999Z";"2022-01-02T17:08:00.000Z";"2022-01-24T14:10:00.000Z";430.6989887623;451.7073382051;262.5016830494;285.5392912111;4272814798.52;5416821339.31;"2022-01-31T23:59:59.999Z"
"2021-12-01T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-01T16:16:31.000Z";"2021-12-04T05:28:10.000Z";569.9547826629;587.0393499304;354.5585362034;430.6395624164;5228424320.77;8157602539.36;"2021-12-31T23:59:59.999Z"
"2021-11-01T00:00:00.000Z";"2021-11-30T23:59:59.999Z";"2021-11-09T22:53:09.000Z";"2021-11-28T18:43:08.000Z";596.6648871892;729.9756625846;537.4225673385;570.5296825903;1170851665.06;10791551117.15;"2021-11-30T23:59:59.999Z"
"2021-10-01T00:00:00.000Z";"2021-10-31T23:59:59.999Z";"2021-10-21T11:31:08.000Z";"2021-10-01T02:51:09.000Z";502.8520775117;655.6233400541;501.2203945918;596.238628465;1330055653.03;11261546530.93;"2021-10-31T23:59:59.999Z"
"2021-09-01T00:00:00.000Z";"2021-09-30T23:59:59.999Z";"2021-09-06T09:23:14.000Z";"2021-09-29T00:16:09.000Z";637.14982873;801.49474908;472.2656193121;502.5036178141;1168391225.09;9477230794.57;"2021-09-30T23:59:59.999Z"
"2021-08-01T00:00:00.000Z";"2021-08-31T23:59:59.999Z";"2021-08-16T00:08:06.000Z";"2021-08-01T23:29:13.000Z";546.72404934;713.66528097;520.36637529;636.76599174;3166346773.86;11992377093.71;"2021-08-31T23:59:59.999Z"
"2021-07-01T00:00:00.000Z";"2021-07-31T23:59:59.999Z";"2021-07-31T00:23:12.000Z";"2021-07-20T10:01:27.000Z";526.42021912;556.78801373;386.14475946;547.8033009;1666655418.94;10301331512.69;"2021-07-31T23:59:59.999Z"
"2021-06-01T00:00:00.000Z";"2021-06-30T23:59:59.999Z";"2021-06-03T10:27:10.000Z";"2021-06-22T13:56:08.000Z";703.4018448;734.99527632;390.00234239;526.29583477;1693524407.16;9882664768.67;"2021-06-30T23:59:59.999Z"
"2021-05-01T00:00:00.000Z";"2021-05-31T23:59:59.999Z";"2021-05-12T00:15:16.000Z";"2021-05-23T16:42:18.000Z";995.35941155;1635.14953049;469.72704451;703.88257588;2736460092.38;13199008095.89;"2021-05-31T23:59:59.999Z"
"2021-04-01T00:00:00.000Z";"2021-04-30T23:59:59.999Z";"2021-04-17T07:11:09.000Z";"2021-04-04T00:06:08.000Z";543.25717742;1208.58617636;532.04836991;993.42568093;3816064835.68;18600480243.78;"2021-04-30T23:59:59.999Z"
"2021-03-01T00:00:00.000Z";"2021-03-31T23:59:59.999Z";"2021-03-13T19:38:08.000Z";"2021-03-01T00:07:09.000Z";459.9558673;607.07239271;458.76420237;543.23787607;3098623014.68;10155760793.2;"2021-03-31T23:59:59.999Z"
"2021-02-01T00:00:00.000Z";"2021-02-28T23:59:59.999Z";"2021-02-15T16:16:07.000Z";"2021-02-01T00:52:07.000Z";399.7600715;767.51003272;390.40966488;459.91447596;4580690977.18;8585347124.76;"2021-02-28T23:59:59.999Z"
"2021-01-01T00:00:00.000Z";"2021-01-31T23:59:59.999Z";"2021-01-10T05:10:10.000Z";"2021-01-01T18:49:07.000Z";342.97976398;629.80120659;334.56062918;399.76993019;3699019612.12;7452675943.78;"2021-01-31T23:59:59.999Z"
"2020-12-01T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-21T00:50:07.000Z";"2020-12-09T08:39:07.000Z";316.47721655;378.17407659;255.86984643;343.05263379;3783477586.51;6381074871.37;"2020-12-31T23:59:59.999Z"
"2020-11-01T00:00:00.000Z";"2020-11-30T23:59:59.999Z";"2020-11-24T08:40:08.000Z";"2020-11-04T11:16:06.000Z";261.75823236;367.9514763;232.3554746;316.42018528;3892204636.43;5881369223.13;"2020-11-30T23:59:59.999Z"
"2020-10-01T00:00:00.000Z";"2020-10-31T23:59:59.999Z";"2020-10-28T13:07:06.000Z";"2020-10-02T10:26:34.000Z";228.22329902;279.13388268;214.28665312;261.75823662;2021384092.93;4858164160.09;"2020-10-31T23:59:59.999Z"
"2020-09-01T00:00:00.000Z";"2020-09-30T23:59:59.999Z";"2020-09-01T23:44:06.000Z";"2020-09-23T20:55:39.000Z";274.480863465;295.448440125;205.58046586;228.00574839;1434832332.59;4225442430.22;"2020-09-30T23:59:59.999Z"
"2020-08-01T00:00:00.000Z";"2020-08-31T23:59:59.999Z";"2020-08-02T04:16:07.000Z";"2020-08-27T17:50:02.000Z";300.504513567;334.783610826;260.733722317;274.543179318;1163683244.94;5080476441.92;"2020-08-31T23:59:59.999Z"
